Day,Comp,Venue,Pos,Gls,Ast,Sh,SoT,Tkl,Int,Blocks,PrgC,Att,Succ
Sat,La Liga,Away,AM,1,0,2,1,3,2,4,4,4,3
Sat,La Liga,Away,FW,2,1,6,4,0,0,0,1,2,1
Fri,La Liga,Away,AM,1,0,1,1,0,0,2,3,2,1
Sat,La Liga,Home,AM,1,0,1,1,0,0,1,3,4,1
Sat,UEFA Euro Qualifying,Away,CM,0,0,1,1,,1,,,,
Tue,Friendlies (M),Away,AM,1,1,,,,,,,,
Sun,La Liga,Home,FW,0,0,2,2,1,0,1,3,5,2
Wed,Champions Lg,Home,RM,1,0,4,1,0,0,0,1,1,0
Sun,La Liga,Away,FW,0,0,1,0,2,0,1,2,10,7
Sat,La Liga,Away,AM,1,1,5,3,4,1,3,3,6,2
Tue,Champions Lg,Away,AM,1,1,3,1,4,2,2,7,4,3
Sat,La Liga,Home,AM,2,0,3,3,2,3,4,2,1,0
Tue,UEFA Euro Qualifying,Home,AM,0,1,1,1,,3,,,,
Sat,La Liga,Away,AM,0,0,1,0,0,1,4,7,2,1
Tue,Champions Lg,Away,FW,1,0,3,2,1,2,2,4,0,0
Sat,La Liga,Away,CM,2,0,2,2,2,2,4,0,4,0
Sun,La Liga,Home,AM,0,0,3,0,2,0,5,7,5,3
Sun,La Liga,Away,AM,1,0,3,1,3,0,0,7,5,3
Wed,Champions Lg,Home,FW,1,1,2,2,1,1,0,8,6,3
Sat,La Liga,Home,LM,0,0,2,1,1,0,0,1,0,0
Sat,La Liga,Away,LW,1,0,2,1,2,1,4,4,5,3
Tue,Champions Lg,Away,AM,0,1,4,1,1,0,0,2,5,4
Sun,La Liga,Home,LM,1,0,3,2,1,1,0,3,0,0
Thu,La Liga,Away,AM,0,0,0,0,0,2,3,0,4,2
Wed,La Liga,Home,LM,0,0,2,1,2,1,1,4,4,3
Wed,Supercopa de España,Home,AM,0,0,3,1,,1,,,,
Sun,Supercopa de España,Home,AM,0,1,4,3,,0,,,,
Thu,Copa del Rey,Away,AM,0,1,3,1,,1,,,,
Sun,La Liga,Home,AM,1,1,2,0,0,1,1,5,2,1
Thu,La Liga,Away,LM,0,0,2,1,2,2,2,4,3,1
