Day,Comp,Venue,Pos,Result,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Sat,La Liga,Away,AM,1,90,1,0,0,0,2,1,0,0,66,3,2,4,0.2,0.2,0.1,3,1,40,50,80,6,39,4,4,3
Sat,La Liga,Away,FW,1,80,2,1,0,0,6,4,0,0,55,0,0,0,0.7,0.7,0.3,3,1,41,45,91.1,4,30,1,2,1
Fri,La Liga,Away,AM,1,90,1,0,0,0,1,1,0,0,50,0,0,2,0.2,0.2,0.1,1,0,36,41,87.8,5,41,3,2,1
Sat,La Liga,Home,AM,1,90,1,0,0,0,1,1,0,0,68,0,0,1,0.7,0.7,0.1,5,0,49,57,86,10,52,3,4,1
Sat,UEFA Euro Qualifying,Away,CM,0.5,64,0,0,0,0,1,1,0,0,,,1,,,,,,,,,,,,,,
Tue,Friendlies (M),Away,AM,1,83,1,1,0,0,,,1,0,,,,,,,,,,,,,,,,,
Sun,La Liga,Home,FW,1,90,0,0,0,0,2,2,0,0,51,1,0,1,0.3,0.3,0.1,6,0,34,41,82.9,6,40,3,5,2
Wed,Champions Lg,Home,RM,1,90,1,0,0,0,4,1,0,0,83,0,0,0,1.1,1.1,0.3,7,0,59,68,86.8,7,74,1,1,0
Sun,La Liga,Away,FW,0,90,0,0,0,0,1,0,1,0,64,2,0,1,0.1,0.1,0,2,0,47,54,87,8,41,2,10,7
Sat,La Liga,Away,AM,1,73,1,1,0,0,5,3,0,0,66,4,1,3,1.2,1.2,0.7,4,1,43,45,95.6,6,50,3,6,2
Tue,Champions Lg,Away,AM,1,90,1,1,0,0,3,1,1,0,70,4,2,2,0.5,0.5,0.5,7,3,51,55,92.7,9,58,7,4,3
Sat,La Liga,Home,AM,1,71,2,0,0,0,3,3,0,0,74,2,3,4,0.7,0.7,0,1,1,48,56,85.7,3,47,2,1,0
Tue,UEFA Euro Qualifying,Home,AM,1,84,0,1,0,0,1,1,0,0,,,3,,,,,,,,,,,,,,
Sat,La Liga,Away,AM,0.5,90,0,0,0,0,1,0,0,0,53,0,1,4,0,0,0.1,7,0,29,36,80.6,6,42,7,2,1
Tue,Champions Lg,Away,FW,1,88,1,0,0,0,3,2,0,0,63,1,2,2,0.2,0.2,0,2,0,41,52,78.8,8,54,4,0,0
Sat,La Liga,Away,CM,1,90,2,0,0,0,2,2,0,0,65,2,2,4,0.6,0.6,0,1,0,44,48,91.7,4,44,0,4,0
Sun,La Liga,Home,AM,0.5,90,0,0,0,0,3,0,0,0,79,2,0,5,0.1,0.1,0.1,7,0,59,66,89.4,10,51,7,5,3
Sun,La Liga,Away,AM,1,77,1,0,0,0,3,1,0,0,75,3,0,0,0.5,0.5,0,3,1,60,64,93.8,8,58,7,5,3
Wed,Champions Lg,Home,FW,1,90,1,1,0,0,2,2,0,0,84,1,1,0,0.4,0.4,0.6,10,1,64,74,86.5,11,61,8,6,3
Sat,La Liga,Home,LM,1,90,0,0,0,0,2,1,1,0,88,1,0,0,0.9,0.9,0.5,6,1,76,81,93.8,18,65,1,0,0
Sat,La Liga,Away,LW,0.5,90,1,0,0,0,2,1,0,0,96,2,1,4,0.6,0.6,0.1,6,1,65,78,83.3,11,56,4,5,3
Tue,Champions Lg,Away,AM,1,90,0,1,0,0,4,1,1,0,101,1,0,0,0.4,0.4,0.5,9,1,85,91,93.4,12,79,2,5,4
Sun,La Liga,Home,LM,1,77,1,0,0,0,3,2,1,0,69,1,1,0,0.4,0.4,0.1,1,0,50,59,84.7,11,50,3,0,0
Thu,La Liga,Away,AM,1,90,0,0,0,0,0,0,1,0,65,0,2,3,0,0,0,1,0,47,53,88.7,4,35,0,4,2
Wed,La Liga,Home,LM,1,90,0,0,0,0,2,1,0,0,84,2,1,1,0,0,0,2,0,54,64,84.4,6,56,4,4,3
Wed,Supercopa de España,Home,AM,1,120,0,0,0,0,3,1,0,0,,,1,,,,,,,,,,,,,,
Sun,Supercopa de España,Home,AM,1,85,0,1,0,0,4,3,1,0,,,0,,,,,,,,,,,,,,
Thu,Copa del Rey,Away,AM,0,120,0,1,0,0,3,1,1,0,,,1,,,,,,,,,,,,,,
Sun,La Liga,Home,AM,1,90,1,1,1,1,2,0,1,0,62,0,1,1,1,0.2,0.4,2,1,41,52,78.8,6,44,5,2,1
Thu,La Liga,Away,LM,1,87,0,0,0,0,2,1,0,0,69,2,2,2,0.2,0.2,0.6,7,0,53,56,94.6,5,43,4,3,1
